player,playerLabel,clubLabel,leagueLabel,start,end,caps
http://www.wikidata.org/entity/Q1093851,Maximilian Arnold,VfL Wolfsburg,Bundesliga,2011-01-01T00:00:00Z,,384
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,SV Werder Bremen,Bundesliga,1999-01-01T00:00:00Z,2020-01-01T00:00:00Z,56
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,FC Bayern Munich,Bundesliga,2001-01-01T00:00:00Z,2007-01-01T00:00:00Z,174
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,Chelsea F.C.,Premier League,2007-01-01T00:00:00Z,2009-01-01T00:00:00Z,21
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,SV Werder Bremen,Bundesliga,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z,26
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,SV Werder Bremen,Bundesliga,2009-01-01T00:00:00Z,2012-01-01T00:00:00Z,77
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,FC Bayern Munich,Bundesliga,2012-01-01T00:00:00Z,2015-01-01T00:00:00Z,50
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,SV Werder Bremen,Bundesliga,2015-01-01T00:00:00Z,2017-01-01T00:00:00Z,47
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,1. FC Köln,Bundesliga,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,16
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,SV Werder Bremen,Bundesliga,2018-01-01T00:00:00Z,2020-01-01T00:00:00Z,44
http://www.wikidata.org/entity/Q110053,Mats Hummels,FC Bayern Munich,Bundesliga,2007-01-01T00:00:00Z,2009-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q110053,Mats Hummels,Borussia Dortmund,Bundesliga,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z,25
http://www.wikidata.org/entity/Q110053,Mats Hummels,Borussia Dortmund,Bundesliga,2009-01-01T00:00:00Z,2016-01-01T00:00:00Z,199
http://www.wikidata.org/entity/Q110053,Mats Hummels,FC Bayern Munich,Bundesliga,2016-01-01T00:00:00Z,2019-06-01T00:00:00Z,74
http://www.wikidata.org/entity/Q110053,Mats Hummels,Borussia Dortmund,Bundesliga,2019-07-01T00:00:00Z,2024-06-01T00:00:00Z,142
http://www.wikidata.org/entity/Q110053,Mats Hummels,AS Roma,Serie A,2024-09-01T00:00:00Z,2025-07-01T00:00:00Z,14
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,1. FSV Mainz 05,Bundesliga,2000-01-01T00:00:00Z,2002-01-01T00:00:00Z,63
